Network Diameter: 16
99	12	( 704 861 932 )
100	10	( 704 800 859 861 932 945 )
101	10	( 704 861 932 )
102	10	( 704 800 859 861 945 )
103	9	( 704 800 859 861 932 945 )
104	11	( 704 800 859 861 932 945 )
105	12	( 704 800 859 861 932 945 )
106	11	( 704 800 859 861 945 )
107	11	( 704 800 859 861 932 945 )
108	12	( 704 861 932 )
109	11	( 704 800 859 861 945 )
110	10	( 704 800 859 861 932 945 )
111	11	( 704 800 859 861 932 945 )
112	11	( 704 861 932 )
113	10	( 704 800 859 861 932 945 )
114	12	( 704 861 932 )
115	13	( 704 861 932 )
116	9	( 704 800 859 861 932 945 )
117	10	( 704 800 859 861 945 )
118	10	( 704 861 932 )
119	11	( 704 861 932 )
120	12	( 704 800 859 861 945 )
121	12	( 704 800 859 861 932 945 )
122	13	( 704 861 932 )
123	10	( 704 800 859 861 945 )
124	10	( 704 800 859 861 932 945 )
125	12	( 704 861 932 )
126	12	( 704 800 859 861 945 )
127	9	( 704 800 859 861 932 945 )
128	10	( 704 800 859 861 932 945 )
129	11	( 704 800 859 861 932 945 )
130	13	( 704 861 932 )
131	10	( 704 800 859 861 932 945 )
132	11	( 704 861 932 )
133	13	( 704 861 932 )
134	10	( 704 800 859 861 932 945 )
135	11	( 704 861 932 )
136	12	( 704 800 859 861 945 )
137	10	( 704 800 859 861 932 945 )
138	12	( 704 861 932 )
139	12	( 704 861 932 )
140	10	( 704 800 859 861 932 945 )
141	11	( 704 800 859 861 932 945 )
142	10	( 704 800 859 861 932 945 )
143	10	( 704 800 859 861 932 945 )
144	9	( 704 800 859 861 932 945 )
145	11	( 704 800 859 861 932 945 )
146	12	( 704 800 859 861 945 )
147	10	( 704 800 859 861 932 945 )
148	14	( 800 859 932 945 )
149	10	( 704 800 859 861 932 945 )
150	11	( 704 800 859 861 932 945 )
151	10	( 704 800 859 861 945 )
152	11	( 704 800 859 861 945 )
153	10	( 704 800 859 861 945 )
154	11	( 704 800 859 861 932 945 )
155	10	( 704 800 859 861 945 )
156	10	( 704 800 859 861 932 945 )
157	10	( 704 800 859 861 945 )
158	11	( 704 800 859 861 932 945 )
159	10	( 704 800 859 861 932 945 )
160	11	( 704 800 859 861 945 )
161	10	( 704 800 859 861 932 945 )
162	11	( 704 800 859 861 932 945 )
163	11	( 800 859 932 945 )
164	13	( 704 861 932 )
165	11	( 704 861 932 )
166	9	( 704 800 859 861 932 945 )
167	11	( 704 800 859 861 932 945 )
168	10	( 704 800 859 861 945 )
169	11	( 704 861 932 )
170	10	( 704 800 859 861 932 945 )
171	12	( 704 861 932 )
172	12	( 800 859 932 945 )
173	9	( 704 800 859 861 932 945 )
174	13	( 800 859 932 945 )
175	11	( 704 800 859 861 945 )
176	10	( 704 800 859 861 932 945 )
177	11	( 704 800 859 861 932 945 )
178	10	( 704 800 859 861 945 )
179	13	( 704 800 859 861 932 945 )
180	11	( 704 861 932 )
181	9	( 704 800 859 861 932 945 )
182	13	( 800 859 932 945 )
183	11	( 800 859 932 945 )
184	11	( 704 800 859 861 945 )
185	11	( 704 861 932 )
186	10	( 704 861 932 )
187	11	( 704 800 859 861 932 945 )
188	12	( 704 800 859 861 932 945 )
189	10	( 704 861 932 )
190	11	( 704 800 859 861 932 945 )
191	12	( 704 861 932 )
192	10	( 704 861 932 )
193	10	( 704 800 859 861 932 945 )
194	10	( 704 800 859 861 932 945 )
195	11	( 704 800 859 861 945 )
196	13	( 704 800 859 861 932 945 )
197	11	( 704 861 932 )
198	11	( 704 800 859 861 932 945 )
199	9	( 704 800 859 861 932 945 )
200	13	( 704 861 932 )
201	11	( 704 800 859 861 945 )
202	10	( 704 800 859 861 932 945 )
203	11	( 704 800 859 861 932 945 )
204	11	( 704 800 859 861 932 945 )
205	10	( 704 800 859 861 932 945 )
206	9	( 704 800 859 861 932 945 )
207	12	( 704 861 932 )
208	10	( 704 800 859 861 932 945 )
209	10	( 704 800 859 861 932 945 )
210	12	( 704 800 859 861 945 )
211	11	( 704 861 932 )
212	11	( 704 800 859 861 932 945 )
213	10	( 704 800 859 861 945 )
214	11	( 704 800 859 861 932 945 )
215	11	( 704 861 932 )
216	11	( 704 861 932 )
217	9	( 704 800 859 861 932 945 )
218	12	( 704 800 859 861 932 945 )
219	12	( 704 800 859 861 932 945 )
220	11	( 704 861 932 )
